T,R,F
34338870,55,0
34338950,33,0
34339030,-1,0
34339110,-10,0
34339190,7,0
34339270,27,0
34339350,40,0
34339430,19,0
34339510,-23,0
34339590,-21,0
34339670,5,0
34339750,23,0
34339831,37,-419
34339911,12,860
34340010,-30,1996
34340071,-30,2542
34340151,-7,1835
34340231,37,-468
34340311,41,-3297
34340391,3,-4383
34340471,-31,-2150
34340551,-65,2280
34340631,-48,5259
34340711,17,3899
34340791,101,-828
34340870,114,-4597
34340951,54,-3932
34341031,-3,259
34341111,-13,3647
34341191,78,2959
34341271,127,-572
34341350,127,-2973
34341431,30,-1800
34341510,-29,1258
34341590,-51,2694
34341671,-24,1033
34341750,49,-1779
34341830,82,-2610
34341910,49,-582
34342010,11,2140
34342070,-6,2749
34342151,-2,510
34342230,56,-2635
34342310,126,-3671
34342391,111,-1207
34342470,38,2996
34342550,-37,5227
34342630,-84,2890
34342710,-80,-2722
34342790,13,-6865
34342870,102,-5229
34342950,96,1512
34343030,39,7454
34343110,4,6816
34343190,11,-127
34343270,49,-6861
34343350,108,-6970
34343430,127,-545
34343510,72,5930
34343590,-5,6192
34343670,-43,407
34343750,-56,-5337
34343830,-8,-5576
34343910,81,-505
34344011,107,4851
34344070,58,5663
34344150,14,1530
34344230,13,-3829
34344310,19,-6136
34344390,73,-3792
34344470,127,1451
34344550,67,5876
34344630,-5,6106
34344710,-7,1568
34344790,9,-4532
34344870,14,-7420
34344950,37,-4564
34345030,38,2017
34345110,24,6992
34345190,29,6250
34345270,44,459
34345350,67,-5509
34345430,102,-6860
34345510,96,-2683
34345590,42,3540
34345670,28,6798
34345750,28,4665
34345830,9,-1215
34345910,-6,-6200
34346010,11,-6313
34346070,28,-1268
34346150,27,4852
34346230,27,6836
34346310,23,3035
34346390,44,-3109
34346470,100,-6114
34346549,125,-3518
34346630,66,1768
34346710,41,4408
34346789,54,2342
34346870,46,-1463
34346950,38,-2796
34347029,35,-673
34347110,21,1988
34347190,0,1994
34347269,8,-580
34347350,22,-2638
34347430,51,-1921
34347509,88,551
34347589,83,2138
34347669,38,1624
34347749,3,94
34347830,0,-835
34347910,12,-815
34348011,25,-665
34348069,47,-798
34348149,50,-520
34348229,17,671
34348309,-3,1759
34348389,4,1350
34348469,42,-460
34348549,91,-1927
34348629,99,-1505
34348709,50,298
34348789,12,1438
34348869,12,685
34348949,18,-836
34349029,12,-1080
34349109,20,291
34349189,35,1649
34349269,31,1329
34349349,26,-601
34349429,26,-2387
34349509,16,-2297
34349589,27,-335
34349669,60,2008
34349749,72,3066
34349829,56,2023
34349909,36,-648
34350010,29,-3237
34350069,26,-3715
34350149,20,-1304
34350229,8,2538
34350309,23,4669
34350389,29,2966
34350469,6,-1402
34350549,-1,-4681
34350629,7,-3967
34350709,16,-32
34350789,42,3500
34350869,84,3734
34350949,84,1087
34351029,33,-1689
34351109,-13,-2501
34351189,-33,-1532
34351269,-34,-109
34351349,-10,845
34351429,39,1191
34351509,56,1065
34351589,26,414
34351669,-2,-628
34351749,-2,-1319
34351829,17,-886
34351909,62,350
34352009,102,1185
34352069,74,811
34352149,12,-425
34352229,-44,-1324
34352309,-66,-1037
34352389,-30,147
34352469,47,1246
34352549,84,1535
34352629,51,898
34352709,5,-416
34352789,-19,-1833
34352869,-8,-2397
34352949,43,-1347
34353028,105,1026
34353109,107,3189
34353188,57,3274
34353268,-6,778
34353349,-47,-2609
34353428,-55,-4229
34353508,-24,-2713
34353588,42,861
34353668,74,3880
34353748,42,4051
34353829,2,1043
34353908,-5,-3001
34354009,11,-4839
34354068,52,-2719
34354148,103,1969
34354228,104,5444
34354308,50,4453
34354388,-16,-653
34354468,-56,-5700
34354548,-39,-6138
34354628,28,-1247
34354708,69,4976
34354788,47,7185
34354868,10,3478
34354948,-4,-2988
34355028,4,-6895
34355108,37,-5313
34355188,89,104
34355268,104,4969
34355348,62,5871
34355428,15,2687
34355508,-22,-1969
34355588,-49,-4971
34355668,-20,-4595
34355748,49,-1209
34355828,78,3017
34355908,52,5192
34356009,11,3567
34356068,-1,-944
34356148,10,-4912
34356228,36,-4943
34356308,74,-766
34356388,112,4117
34356468,105,5396
34356548,47,1902
34356628,12,-3242
34356708,26,-5335
34356788,33,-2498
34356868,17,2536
34356948,13,5112
34357028,14,3059
34357108,2,-1627
34357188,-9,-4915
34357268,1,-4229
34357348,42,-315
34357428,83,3775
34357508,101,5171
34357588,85,3057
34357668,28,-1170
34357748,-3,-4836
34357828,5,-5393
34357908,21,-2168
34358009,39,2743
34358068,50,5726
34358148,38,4469
34358228,16,-44
34358308,14,-4219
34358388,36,-4845
34358468,74,-1838
34358547,103,1916
34358628,104,3426
34358707,79,2147
34358787,25,-182
34358868,-17,-1622
34358948,-23,-1548
34359028,-3,-574
34359108,39,451
34359187,72,1060
34359267,58,922
34359348,20,-145
34359427,8,-1536
34359508,25,-1863
34359587,60,-310
34359667,78,2121
34359747,86,3106
34359827,83,1274
34359907,30,-2103
34360010,-24,-4050
34360068,-42,-2645
34360147,-14,1010
34360227,12,3850
34360307,23,3606
34360387,34,596
34360467,21,-2768
34360547,8,-4124
34360627,8,-2674
34360707,16,567
34360787,52,3522
34360867,79,4284
34360947,78,2154
34361027,64,-1739
34361107,34,-4796
34361187,11,-4597
34361267,-5,-877
34361347,-1,3753
34361427,7,5699
34361507,21,3378
34361587,35,-1472
34361667,29,-5208
34361747,39,-5174
34361827,76,-1555
34361907,118,2998
34362009,127,5379
34362067,127,4106
34362147,127,225
34362227,127,-3593
34362307,64,-4815
34362387,-7,-2839
34362467,-71,790
34362547,-128,3584
34362627,-128,3808
34362707,-128,1580
34362787,-79,-1603
34362867,-43,-3706
34362947,-44,-3462
34363027,-28,-1040
34363107,19,2124
34363187,48,3992
34363267,32,3177
34363347,24,-4
34363427,22,-3328
34363507,8,-4243
34363587,-3,-2067
34363667,0,1378
34363747,6,3424
34363827,12,2852
34363907,15,713
34364009,11,-1071
34364067,11,-1721
34364147,12,-1765
34364227,21,-1700
34364307,15,-968
34364387,4,996
34364467,21,3211
34364547,42,3611
34364627,25,1170
34364707,-3,-2540
